"fYear","Region","Quarter","fAGE","Prob_West","SE","N"
"2018","EATL","Q3","'9+",0.211683503155557,0.0251501052626754,24
"2019","EATL","Q3","'9+",0.184548452260355,0.0274537674867774,21
"2020","EATL","Q3","'9+",0.203881204452254,0.0163537822041424,96
"2021","EATL","Q3","'9+",0.230436004250979,0.0234567027233585,41
"2014","EATL","Q3","'9+",0.279879187288808,0.0443006847797287,1
"2017","EATL","Q3","'9+",0.232507283721858,0.037494403025718,3
"2022","EATL","Q3","'9+",0.23517877596286,0.0229940935610047,55
"2023","EATL","Q3","'9+",0.2237975813931,0.0243626911545834,46
"2010","WATL","Q3","'9+",0.415459234906116,0.0140344955974437,357
"2011","WATL","Q3","'9+",0.461680424226063,0.0164530621090963,372
"2012","WATL","Q3","'9+",0.469109225870009,0.0181360504408047,329
"2015","WATL","Q3","'9+",0.46574257063095,0.0184242140832131,346
"2013","WATL","Q3","'9+",0.496229739733092,0.01301867477796,540
"2016","WATL","Q3","'9+",0.462865514987023,0.0190652476479991,300
"2018","WATL","Q3","'9+",0.548864146414696,0.0147316179980822,436
"2019","WATL","Q3","'9+",0.529129192883544,0.0165763492339003,371
"2020","WATL","Q3","'9+",0.627376740093358,0.0290255583062934,147
"2021","WATL","Q3","'9+",0.545789708459843,0.0269172527142615,121
"2014","WATL","Q3","'9+",0.435120663941767,0.013493977997731,514
"2017","WATL","Q3","'9+",0.622362811118919,0.0165758242491102,347
"2022","WATL","Q3","'9+",0.656368148636193,0.0235581839214294,95
"2023","WATL","Q3","'9+",0.770483930992605,0.021662802800897,83
"1977","WATL","Q3","'9+",0.610509900510698,0.114174331210709,5
"2024","WATL","Q3","'9+",0.791226586404704,0.0202781341725161,132
"1975","WATL","Q3","'9+",0.611906791072436,0.114144888029001,5
"2008","WATL","Q3","'9+",0.527665177081611,0.10594715869814,1
"2009","EATL","Q4","'0-4",0.190800722186962,0.0287801583324363,8
"2010","EATL","Q4","'0-4",0.174729155213473,0.0240936452638532,11
"2012","EATL","Q4","'0-4",0.219914612895977,0.0338101712144097,27
"2013","EATL","Q4","'0-4",0.269218001643435,0.0702783661644539,17
"2016","EATL","Q4","'0-4",0.212513437949352,0.0700896541175202,1
"2004","EATL","Q4","'0-4",0.196327801791473,0.0485199467349589,4
"2002","MED","Q4","'0-4",0.12436159098396,0.0317518126748331,5
"2011","WATL","Q4","'0-4",0.358446582276513,0.0509682593637429,4
"2015","WATL","Q4","'0-4",0.386924243637858,0.0633312383496235,1
"2013","WATL","Q4","'0-4",0.339676773006101,0.0466732801437299,6
"2016","WATL","Q4","'0-4",0.398078462843477,0.063934969373177,1
"2018","WATL","Q4","'0-4",0.46065972256972,0.0786520380653887,1
"2019","WATL","Q4","'0-4",0.436722971321174,0.0708568882725568,1
"2014","WATL","Q4","'0-4",0.348572012477188,0.0691099367095715,1
"2017","WATL","Q4","'0-4",0.435684823067838,0.0693829408449644,1
"1998","WATL","Q4","'0-4",0.541066710173919,0.056205834019053,10
"2003","WATL","Q4","'0-4",0.660082299428042,0.0592864549921498,9
"2009","EATL","Q4","'5-8",0.29177485377029,0.0455791060615893,2
"2010","EATL","Q4","'5-8",0.374836664161663,0.0225188872919718,97
"2011","EATL","Q4","'5-8",0.225085233499097,0.0218077805132905,58
